PartNum,Conversion Code
0392-015,AGAV15
0392-024,AGAV24
0392-101,AGAV1
0392-105,AGAV5
0392-115,AGAV15
0392-124,AGAV24
0392-201,AGAV1
0392-205,AGAV5
0392-215,AGAV15
0392-224,AGAV24
0392-225,AGAV5
0392-285,AGAV5
0392-301,AGAV1
0392-305,AGAV5
0392-315,AGAV15
0392-324,AGAV24
0392-405,AGAV5
0392-415,AGAV15
0392-424,AGAV24
0392-501,ARCT1
0392-505,AGAV5
0392-515,AGAV15
0392-524,AGAV24
0392-605,ARCT5
0392-615,AGAV15
0392-624,AGAV24
0392-705,AGAV5
0392-715,AGAV15
0392-724,AGAV24
0392-805,AGAV5
0392-815,AGAV15
0392-905,AGAV5
0392-910,AGAV15
0392-915,AGAV15
0392-995,AGAV15
0393-001,AEON1
0393-002,AGAV5
0393-004,LINER
0393-005,AGAV5
0393-015,AGAV15
0393-105,AGAV5
0393-115,AGAV15
0393-205,AGAV5
0393-215,AGAV15
0393-225,AGAV15
0393-235,AGAV5
0393-245,AGAV5
0393-255,AGAV5
0393-265,AGAV5
0393-275,AGAV5
0393-285,AGAV5
0393-305,AGAV5
0393-315,AGAV15
0393-405,AGAV5
0393-415,AGAV15
0393-505,AEON5
0393-515,AEON5
0393-605,AEON5
0393-615,AGAV15
0393-655,AGAV5
0393-705,AEON5
0393-715,AGAV15
0393-755,AGAV5
0393-805,AEON5
0393-815,AGAV15
0393-855,AGAV5
0393-905,AEON5
0393-915,AGAV15
0393-955,AGAV5
0394-005,AGAV5
0394-101,AEON1
0394-105,AEON5
0394-115,AGAV15
0394-205,AEON5
0394-305,AEON5
0394-405,AEON5
0394-505,AEON5
0394-601,AEON1
0394-605,AEON5
0394-705,AEON5
0394-805,AEON5
0394-905,AEON5
0395-001,ANIG1
0395-005,ANIG5
0395-101,ANIG1
0395-104,LINER
0395-105,ANIG5
0395-106,LINER
0395-111,ANIG1
0395-201,ANIG1
0395-205,ANIG5
0395-215,ANIG15
0395-301,ANIG1
0395-305,ANIG5
0395-311,ANIG5
0395-315,ANIG15
0395-401,ANIG1
0395-405,ANIG5
0395-415,ANIG15
0395-501,ANIG1
0395-505,ANIG5
0395-515,ANIG15
0395-555,ANIG5
0395-601,ANIG1
0395-605,ANIG5
0395-615,ANIG15
0395-701,ANIG1
0395-705,ANIG5
0395-715,ANIG15
0395-801,ANIG1
0395-805,ANIG5
0395-815,ANIG15
0395-901,ANIG1
0395-905,ANIG5
0396-001,ANIG1
0396-005,ANIG5
0396-101,ANIG1
0396-105,ANIG5
0396-201,ANIG1
0396-205,ANIG5
0396-301,ANIG1
0396-305,ANIG5
0396-401,ANIG1
0396-405,ANIG5
0396-501,ANIG1
0396-505,ANIG5
0396-605,ANIG5
0396-705,ANIG5
0396-805,ANIG5
0396-905,ANIG5
0397-001,ANIG1
0397-005,ANIG5
0397-101,ANIG1
0397-105,ANIG5
0397-201,ANIG1
0397-205,ANIG5
0397-305,ANIG5
0397-405,ANIG5
0397-505,ANIG5
0397-601,ANIG1
0397-605,ANIG5
0397-701,ANIG1
0397-705,ANIG5
0397-801,ANIG1
0397-805,ANIG5
0398-505,ANIG5
0398-705,ANIG5
0398-801,ANIG1
0398-805,ANIG5
0398-905,ANIG5
0399-105,ANIG5
0399-205,ANIG5
0400-501,ARME1
0401-005,AEON5
0401-105,AEON5
0402-005,AGAV5
0402-105,AGAV5
0410-501,ASPI1
0410-505,ASPI5
0410-515,ASPI15
0410-601,ASPI1
0420-505,AUCU1
0420-515,AUCU5
0421-405,AUCU5
0421-501,AUCU1
0421-505,AUCU5
0421-515,AUCU15
0421-605,AUCU5
0422-505,AUCU5
0422-515,AUCU15
0425-501,AZAL1
0425-505,AZAL5
0425-507,AZAL7
0425-515,AZAL15
0425-601,AZAL1
0425-605,AZAL5
0425-615,AZAL15
0425-705,AZAL5
0425-715,AZAL15
0426-315,AZAL15
0426-415,AZAL15
0426-501,AZAL1
0426-505,AZAL5
0426-507,AZAL7
0426-515,AZAL15
0426-516,AZAL15
0426-605,AZAL5
0426-615,AZAL15
0426-715,AZAL15
0426-801,AZAL1
0426-815,AZAL15
0427-501,AZAL1
0427-505,AZAL5
0427-507,AZAL7
0427-515,AZAL15
0427-555,AZAL1
0427-560,AZAL5
0427-605,AZAL5
0427-615,AZAL15
0427-705,AZAL5
0427-724,AZAL24
0428-501,AZAL1
0428-505,AZAL5
0428-507,AZAL7
0428-515,AZAL15
0429-501,AZAL1
0429-505,AZAL5
0429-507,AZAL7
0429-515,AZAL15
0429-615,AZAL5
0429-815,AZAL15
0429-915,AZAL5
0430-501,AZAL1
0430-505,AZAL5
0430-507,AZAL7
0430-515,AZAL15
0431-015,AZAL15
0431-105,AZAL5
0431-215,AZAL15
0431-305,AZAL5
0431-405,AZAL5
0431-501,AZAL1
0431-505,AZAL5
0431-507,AZAL7
0431-515,AZAL15
0431-605,AZAL5
0431-705,AZAL5
0431-707,AZAL7
0431-715,AZAL15
0431-805,AZAL5
0431-815,AZAL5
0431-905,AZAL5
0431-915,AZAL15
0432-505,AZAL5
0432-507,AZAL7
0432-515,AZAL15
0432-605,AZAL5
0432-915,AZAL15
0434-104,LINER
0435-105,AZAL5
0435-205,AZAL5
0436-501,AZAL1
0436-505,AZAL5
0437-505,AZAL5
0437-515,AZAL15
0438-505,AZAL5
0438-507,AZAL7
0438-605,AZAL5
0438-607,AZAL7
0438-815,AZAL15
0439-001,BACO1
0440-000,PLUG
0440-000,GC
0440-000,LINER
0440-001,LINER
0440-001,PLUG
0440-002,KOEL1
0440-002,KOEL1
0440-003,LINER
0440-004,LINER
0440-005,PLUG
0440-006,PLUG
0440-104,COLOR
0440-201,PLUG
0440-201,LINER
0440-204,LINER
0440-205,GC
0440-214,LINER
0440-301,BACC1
0440-401,BACC1
0440-405,BACC5
0440-501,BACC1
0440-505,BACC5
0440-601,BACC1
0440-605,BACC5
0440-701,BACC1
0440-705,BACC5
0440-801,LINER
0440-801,GC
0440-822,GC
0440-823,AC
0440-823,GC
0440-824,GC
0440-901,BACC1
0440-905,BACC5
0441-001,SALI1
0441-005,BACC5
0441-101,BACC1
0441-105,BACC5
0441-111,LINER
0441-201,BACC1
0441-301,BACC1
0441-501,BACC1
0441-502,LINER
0441-503,SALI1
0441-504,BACC1
0441-505,BACC1
0441-506,BACC1
0441-601,BACC1
0441-705,BACC5
0445-001,BALL1
0445-001,BALL1
0445-002,BALL1
0445-024,BAMB24
0445-101,DAPH1
0445-101,1812
0445-105,BAMB5
0445-120,BAMB24
0445-124,BAMB24
0445-136,BAMB
0445-136,BAMB36
0445-201,1812
0445-201,SAXI1
0445-205,BAMB5
0445-220,BAMB24
0445-224,BAMB24
0445-236,BAMB
0445-239,PHYL15
0445-505,BAMB5
0445-505,BAMB
0445-515,BAMB15
0445-524,BAMB24
0445-615,BAMB15
0445-616,BAMB15
0445-624,BAMB24
0445-715,BAMB
0445-724,BAMB24
0445-824,BAMB24
0445-915,BAMB15
0500-501,BEGO1
0500-505,BEGO5
050-120BL,IRRBID
0501-501,BEGO1
0501-505,BEGO5
050-160BL,NIPPLE
0501-701,BEGO1
0501-801,BEGO1
0510-105,BERB5
0510-401,BERB1
0510-415,berb15
0510-501,BERB1
0510-505,BERB5
0510-515,BERB15
0510-601,BERB1
0510-615,BERB15
0510-701,BERB1
0511-505,BERB5
0511-605,BERB5
0511-705,BERB5
0511-715,BERB15
0511-805,BERB5
0519-100,LSBID
0519-100,LSSTOCK
0520-001,BERG1
0520-501,BERG1
0520-502,BERG1
0520-505,BERG1
0521-505,AZAL5
054-601,AMPE1
054-605,AMPE5
0630-115,BAUH15
0630-124,BAUH24
0630-136,BAUH36
0630-148,BAUH48
0630-224,BAUH24
0630-236,BAUH36
0630-248,BAUH48
0630-324,BAUH24
0631-115,BAUH15
0633-136,BAUH36
0633-236,BAUH36
0634-115,BAUH15
0634-124,BAUH24
0634-136,BAUH36
0634-148,BAUH48
0634-236,BAUH36
0634-248,BAUH48
0636-120,BEAU
0636-515,BEAU
0636-524,BEAU
0636-536,BEAU
0636-545,BEAU
0647-801,LINER
0704-815,BOUG15
0728-205,LSBID
0728-215,LSBID
0730-024,BETU24
0730-115,BETU15
0730-124,BETU24
0730-130,BETU30
0730-215,BETU15
0730-224,BETU24
0730-230,BETU30
0730-236,BETU36
0730-237,BETU36
0730-248,BETU48
0730-315,BETU15
0730-324,BETU24
0730-336,BETU36
0730-424,BETU24
0730-436,BETU36
0735-101,BOUG1
0740-015,BOUG15
0740-101,BOUG1
0740-201,BOUG1
0740-215,BOUG15
0740-301,BOUG1
0740-315,BOUG15
0740-415,BOUG15
0740-501,BOUG1
0740-505,BOUG5
0740-515,BOUG15
0740-605,BOUG5
0740-615,BOUG15
0740-705,BOUG5
0740-715,BOUG15
0740-805,BOUG5
0740-915,BOUG15
0741-115,BOUG15
0741-215,BOUG15
0741-315,BOUG15
0741-501,BOUG1
0741-505,BOUG5
0741-515,BOUG15
0741-605,BOUG5
0741-615,BOUG15
0741-715,BOUG15
0742-005,BOUG5
0742-105,BOUG5
0742-111,BOUG15
0742-305,BOUG5
0742-401,BOUG1
0742-405,BOUG5
0742-501,BOUG1
0742-505,BOUG5
0742-515,BOUG15
0742-555,BOUG5
0742-604,BOUG5
0742-605,BOUG5
0742-615,BOUG15
0742-705,BOUG5
0742-715,BOUG15
0742-805,BOUG5
0742-815,BOUG15
0742-905,BOUG5
0743-005,BOUG5
0743-105,BOUG5
0743-115,BOUG15
0743-205,BOUG5
0743-305,BOUG5
0743-405,BOUG5
0743-415,BOUG15
0743-501,BOUG1
0743-505,BOUG5
0743-515,BOUG15
0743-601,BOUG1
0743-605,BOUG5
0743-705,BOUG5
0743-805,BOUG5
0743-915,BOUG15
0744-115,PASS15
0744-215,PASS15
0744-405,BOUG5
0744-501,BOUG1
0744-505,BOUG5
0744-515,BOUG15
0744-605,BOUG5
0744-615,BOUG15
0745-415,CLYT15
0745-501,BOUG1
0745-505,BOUG5
0745-601,BOUG1
0745-701,BOUG1
0745-715,BOUG15
0745-815,BOUG15
0745-915,BOUG15
0746-015,BOUG15
0746-115,BOUG15
0746-501,BOUG1
0746-505,BOUG5
0746-515,BOUG15
0746-601,BOUG1
0746-615,BOUG15
0746-705,BOUG5
0747-115,PODR15
0747-215,PAND15
0747-405,PAND5
0747-415,PAND15
0747-501,BOUG1
0747-505,BOUG5
0747-515,BOUG15
0747-545,PAND5
0747-601,BOUG1
0747-715,BOUG15
0748-302,BOUG5
0748-355,BOUG5
0748-501,BOUG1
0748-505,BOUG5
0748-515,DIST15
0748-555,BOUG5
0748-605,BOUG5
0748-705,BOUG5
0748-805,BOUG5
0748-901,BOUG1
0748-902,BOUG5
0748-903,BOUG15
0748-905,BOUG5
0748-995,BOUG5
0749-001,BEGO1
0749-050,BOUG5
0749-105,BOUG5
0749-201,BOUT1
0749-301,BOUT1
0749-401,BOUT1
0749-505,BOUG5
0749-515,BOUG15
0749-605,BOUG5
0749-615,BOUG15
0749-705,BOUG5
0749-715,BOUG15
0749-805,BOUG5
0749-815,CARI15
0749-905,BOUT5
0749-915,BOUT5
0750-015,BOUG15
075-040BS,BRASS2
075-120BS,BRASS2
0751-501,BOUG1
0751-505,BOUG5
075-180BS,BRASS2
0752-205,BOUG5
075-2300,FITTING
0752-305,BOUG5
075-240BS,BRASS2
0752-505,BOUG5
0752-515,BOUG15
0752-615,BOUG15
075-360BS,BRASS2
0755-105,BOUG5
0755-115,BOUG15
0755-205,BOUG5
0755-215,BOUG15
0755-305,BOUG5
0755-315,BOUG15
0755-415,BOUG15
0755-505,BOUG5
0755-605,BOUG5
0850-115,BRAC15
0850-124,BRAC24
0850-130,BRAC36
0850-136,BRAC36
0850-148,BRAC48
0850-224,BRAC24
0850-225,BRAC15
0850-236,BRAC36
0850-248,BRAC48
0850-324,BRAC24
0850-336,BRAC36
0850-348,BRAC48
0851-115,BRAC15
0851-124,BRAC24
0851-136,BRAC36
0851-224,BRAC24
0851-324,BRAC24
0860-101,BROM5
0860-105,BROM5
0860-108,BRAH36
0860-110,BRAH36
0860-115,BROM15
0860-124,BRAH36
0860-136,BRAH36
0862-111,BRAH36
0862-112,BRAH36
0862-113,BRAH36
0862-114,BRAH36
0863-205,LSBID
0880-015,BRUG15
0881-005,BUDD5
0881-105,BUDD5
0881-205,BUDD5
0881-305,BUDD5
0881-405,BUDD5
0881-501,BUDD1
0881-501,1812
0881-505,BUDD5
0881-605,BUDD5
0881-705,BUDD5
0881-805,BUDD5
0889-100,IRRBID
0889-100,DRAIN
0890-036,BUTI60
0890-160,BUTI60
0896-105,BUXU5
0896-124,BUXU24
0896-205,BUXU5
0896-224,BUXU24
0896-305,BUXU5
0896-315,BUXU15
0896-324,BUXU24
0896-405,BUXU5
0896-415,BUXU15
0896-501,BUXU1
0896-505,BUXU5
0896-515,BUXU15
0896-601,BUXU1
0896-605,BUXU5
0896-615,BUXU15
0896-701,BUXU1
0896-705,BUXU5
0896-715,BUXU15
0896-720,BUXU15
0896-801,BUXU1
0896-805,BUXU5
0896-901,BUXU1
0896-905,BUXU5
0896-924,BUXU24
0897-005,BUXU5
0897-015,BUXU15
0897-115,BUXU15
0897-215,BUXU15
0897-315,BUXU15
0897-415,BUXU15
0897-501,BUXU1
0897-505,BUXU5
0897-515,BUXU15
0897-601,BUXU1
0897-605,BUXU5
0897-615,BUXU15
