factor_code,part_number,quantity
factor_code,part_number,quantity
510.4,33-1160,0.01
510.4,33-1180,1.0
510.4,9302-245,2.0
557,33-1280,0.1
153,9300-220,0.07
153,9301-100,1.0
507.1,9302-240,7.0
507.1,9300-100,0.12
507.1,33-1720,0.03
507.1,33-1160,0.03
507.1,33-1180,2.0
507.1,9300-102,2.0
507.1,33-1340,10.0
507.1,40-1462,1.0
509.3,9302-240,7.0
509.3,9300-100,0.12
509.3,33-1720,0.03
509.3,33-1160,0.03
509.3,9302-250,1.0
509.3,9302-255,2.0
509.3,33-1340,10.0
509.3,40-1462,1.0
204.1,9300-380,0.07
204.1,33-4520,0.1
510.5,9302-240,6.0
510.5,9300-100,0.05
510.5,33-1720,0.01
510.5,33-1160,0.01
510.5,33-1180,2.0
510.5,9302-245,2.0
558,33-1280,0.2
154,9301-160,0.008
507.2,9302-240,7.0
507.2,9300-100,0.12
507.2,33-1720,0.03
507.2,33-1160,0.03
507.2,33-1340,10.0
507.2,40-1462,1.0
506.1,9302-240,8.0
506.1,9300-100,0.15
506.1,33-1720,0.04
506.1,33-1160,0.04
506.1,33-1340,12.0
506.1,40-1462,1.0
506.1,9302-273,3.0
203.1,9300-360,0.1
203.1,33-4520,0.1
510.6,9302-240,6.0
510.6,33-1180,1.0
510.6,9302-245,2.0
507.3,9302-240,7.0
507.3,9300-100,0.12
507.3,33-1720,0.03
507.3,33-1160,0.03
507.3,33-1180,1.0
507.3,9302-245,3.0
507.3,33-1340,10.0
507.3,40-1462,1.0
506.2,9302-240,8.0
506.2,9300-100,0.15
506.2,33-1720,0.04
506.2,33-1160,0.04
506.2,33-4521,3.0
506.2,33-1340,12.0
506.2,40-1462,1.0
505.1,9302-240,9.0
505.1,9300-100,0.3
505.1,33-1720,0.08
505.1,33-1160,0.08
505.1,33-1340,15.0
505.1,40-1462,1.0
505.1,9302-273,3.0
202.1,9300-340,0.1
202.1,33-4520,0.1
560,33-1286,0.2
505.2,9302-240,9.0
505.2,9300-100,0.3
505.2,33-1720,0.08
505.2,33-1160,0.08
505.2,33-1340,15.0
505.2,40-1462,1.0
504.1,9302-240,10.0
700,20-2140,2.0
504.1,9300-100,0.4
504.1,33-1720,0.12
504.1,33-1160,0.12
504.1,9302-181,3.0
504.1,33-1340,17.0
504.1,40-1462,1.0
507.4,9302-240,7.0
507.4,9300-100,0.12
507.4,33-1720,0.03
507.4,33-1160,0.03
507.4,33-1180,1.0
507.4,9302-245,2.0
507.4,33-1340,10.0
507.4,40-1462,1.0
201.1,9300-320,0.15
201.1,33-4520,0.1
460,33-1100,2.0
505.3,9302-240,9.0
505.3,9300-100,0.3
505.3,33-1720,0.06
505.3,33-1160,0.08
505.3,33-1340,15.0
505.3,40-1462,1.0
505.3,9302-243,2.0
505.3,9302-245.1,4.0
503.1,9302-240,11.0
503.1,9300-100,0.6
503.1,33-1720,0.19
503.1,33-1160,0.19
503.1,9302-181,3.0
503.1,33-1340,20.0
503.1,40-1462,1.0
507.5,33-1180,2.0
507.5,9302-245,4.0
507.5,33-1340,10.0
507.5,40-1462,1.0
402.1,40-2145,1.0
402.1,9301-210,0.04
402.1,9301-241,1.0
