factor_code,part_number,quantity
503.2,33-1340,20.0
503.3,33-1340,20.0
503.4,33-1340,20.0
504,33-1340,17.0
504.1,33-1340,17.0
505,33-1340,15.0
505.1,33-1340,15.0
505.11,33-1340,15.0
505.2,33-1340,15.0
505.3,33-1340,15.0
505.4,33-1340,15.0
505.5,33-1340,15.0
505.6,33-1340,15.0
505.7,33-1340,15.0
505.8,33-1340,15.0
505.9,33-1340,15.0
506,33-1340,12.0
506.1,33-1340,12.0
506.2,33-1340,12.0
507,33-1340,10.0
507.1,33-1340,10.0
507.2,33-1340,10.0
507.3,33-1340,10.0
507.4,33-1340,10.0
507.5,33-1340,10.0
507.6,33-1340,10.0
507.7,33-1340,10.0
507.8,33-1340,10.0
508,33-1340,10.0
508.1,33-1340,10.0
509,33-1340,10.0
509.1,33-1340,10.0
509.2,33-1340,10.0
509.3,33-1340,10.0
510,33-1340,6.0
510.1,33-1340,6.0
510.2,33-1340,6.0
510.3,33-1340,6.0
510.4,33-1340,6.0
510.5,33-1340,6.0
510.6,33-1340,0.0
511,33-1340,6.0
511.1,33-1340,6.0
511.2,33-1340,6.0
512,33-1340,6.0
512.1,33-1340,6.0
512.3,33-1340,6.0
542,33-1340,4.0
542.1,33-1340,4.0
542.2,33-1340,10.0
543,33-1340,10.0
544,33-1340,3.0
544.1,33-1340,3.0
498,33-1360,1.0
498.1,33-1360,1.0
542,33-1360,1.0
542.1,33-1360,1.0
542.2,33-1360,1.0
543,33-1360,1.0
544,33-1360,1.0
544.1,33-1360,1.0
660,33-1377,0.0003
899,33-1380,2.0
900,33-1380,2.0
901,33-1380,1.0
902,33-1380,1.0
480,33-1400,1.0
490,33-1400,1.0
800.1,33-1529,0.002
800.2,33-1529,0.002
525,33-1539,2.0
526,33-1539,1.0
527,33-1539,0.5
527.5,33-1539,4.0
528,33-1539,2.0
529,33-1539,1.0
904,33-1540,0.334
899,33-1680,0.05
900,33-1680,0.05
901,33-1680,0.05
902,33-1680,0.05
498,33-1720,1.0
498.1,33-1720,1.0
499,33-1720,2.0
499.2,33-1720,3.0
499.3,33-1720,2.0
499.4,33-1720,2.0
500,33-1720,1.0
500.1,33-1720,0.8
500.2,33-1720,0.8
501,33-1720,0.31
501.1,33-1720,0.31
501.2,33-1720,0.31
501.3,33-1720,0.25
502,33-1720,0.236
502.1,33-1720,0.236
503,33-1720,0.19
503.1,33-1720,0.19
503.2,33-1720,0.236
503.4,33-1720,0.19
504,33-1720,0.12
504.1,33-1720,0.12
505,33-1720,0.06
505.1,33-1720,0.084
505.11,33-1720,0.06
505.11,33-1720,0.084
505.2,33-1720,0.084
505.3,33-1720,0.06
505.4,33-1720,0.084
505.5,33-1720,0.084
505.6,33-1720,0.084
505.8,33-1720,0.084
506,33-1720,0.048
506.1,33-1720,0.048
506.2,33-1720,0.048
507,33-1720,0.038
507.1,33-1720,0.038
507.2,33-1720,0.038
507.3,33-1720,0.038
507.4,33-1720,0.038
507.6,33-1720,0.038
507.7,33-1720,0.038
507.8,33-1720,0.038
507.8,33-1720,0.01
508,33-1720,0.038
508.1,33-1720,0.038
509,33-1720,0.038
509.1,33-1720,0.038
509.2,33-1720,0.038
509.3,33-1720,0.038
510,33-1720,0.014
510.1,33-1720,0.014
510.2,33-1720,0.014
510.3,33-1720,0.014
510.4,33-1720,0.014
510.5,33-1720,0.014
511,33-1720,0.014
511.1,33-1720,0.014
511.2,33-1720,0.014
512,33-1720,0.014
512.1,33-1720,0.014
512.3,33-1720,0.014
513,33-1720,0.0044
513.1,33-1720,0.0044
513.2,33-1720,0.0044
513.3,33-1720,0.0044
513.4,33-1720,0.0044
513.5,33-1720,0.0044
514,33-1720,0.0044
514.1,33-1720,0.0044
514.2,33-1720,0.0044
515,33-1720,0.0044
515.1,33-1720,0.0044
516,33-1720,0.0008
517,33-1720,0.0008
518,33-1720,0.0008
519,33-1720,0.014
520,33-1720,0.0044
521,33-1720,0.38
522,33-1720,0.0008
523,33-1720,0.0006
525,33-1720,0.014
526,33-1720,0.0044
527,33-1720,0.0008
527.5,33-1720,0.38
528,33-1720,0.014
529,33-1720,0.0044
568,33-1720,0.001
801,33-1720,0.014
802,33-1720,0.0044
803,33-1720,0.0008
804,33-1720,0.038
899,33-1720,0.038
900,33-1720,0.014
901,33-1720,0.0044
902,33-1720,0.0008
904,33-1720,0.3
500,33-1730,0.15
501,33-1730,0.05
503,33-1730,0.05
505,33-1730,0.02
507,33-1730,0.009
510,33-1730,0.003
519,33-1730,0.003
520,33-1730,0.0011
522,33-1730,0.0002
534.1,33-1739,0.0038
100,33-1961,0.0005
101,33-1961,0.0005
102,33-1961,0.0005
110,33-1961,0.0005
111,33-1961,0.0005
112,33-1961,0.0007
113,33-1961,0.0005
114,33-1961,0.0005
114.1,33-1961,0.0005
120,33-1961,0.0005
121,33-1961,0.0005
122,33-1961,0.0007
123,33-1961,0.0005
124,33-1961,0.0005
124.1,33-1961,0.0005
125,33-1961,0.0005
126,33-1961,0.0005
127,33-1961,0.0005
128,33-1961,0.0007
129,33-1961,0.0007
130,33-1961,0.0005
131,33-1961,0.0005
132,33-1961,0.0007
133,33-1961,0.0005
134,33-1961,0.0005
134.1,33-1961,0.0005
135,33-1961,0.0007
136,33-1961,0.001
137,33-1961,0.001
